home,away,status
Southampton FC,Fulham FC,SCHEDULED
Crystal Palace FC,Aston Villa FC,SCHEDULED
Newcastle United FC,Sheffield United FC,SCHEDULED
Chelsea FC,Leicester City FC,SCHEDULED
Tottenham Hotspur FC,Aston Villa FC,SCHEDULED
Everton FC,Wolverhampton Wanderers FC,SCHEDULED
West Bromwich Albion FC,West Ham United FC,SCHEDULED
Manchester United FC,Fulham FC,SCHEDULED
Burnley FC,Liverpool FC,SCHEDULED
Southampton FC,Leeds United FC,SCHEDULED
Crystal Palace FC,Arsenal FC,SCHEDULED
Brighton & Hove Albion FC,Manchester City FC,SCHEDULED
Fulham FC,Newcastle United FC,SCHEDULED
Aston Villa FC,Chelsea FC,SCHEDULED
Liverpool FC,Crystal Palace FC,SCHEDULED
Manchester City FC,Everton FC,SCHEDULED
Arsenal FC,Brighton & Hove Albion FC,SCHEDULED
Sheffield United FC,Burnley FC,SCHEDULED
Leicester City FC,Tottenham Hotspur FC,SCHEDULED
West Ham United FC,Southampton FC,SCHEDULED
Leeds United FC,West Bromwich Albion FC,SCHEDULED
Wolverhampton Wanderers FC,Manchester United FC,SCHEDULED
